time	weight	gas_flow	pressure	laser	angle	angle_vel
0.0	-3.436347246170044	0.0	-1.31718647480011	69.70640563964844	0.04515588214716362	0
0.005000000000109139	-3.436347246170044	0.0	-1.105760097503662	69.70640563964844	0.04515588214716362	0.0
0.010000000000218279	-3.436347246170044	0.0	-1.5814695358276367	69.70640563964844	0.04515588214716362	0.0
0.01499999999987267	-3.436347246170044	0.0	-0.947190284729004	69.70640563964844	0.04515588214716362	0.0
0.01999999999998181	-3.436347246170044	0.0	-1.7188966274261477	69.70640563964844	0.04515588214716362	0.0
0.02500000000009095	-3.436347246170044	0.0	-0.852048397064209	69.70640563964844	0.04515588214716362	0.0
0.03000000000020009	-3.436347246170044	0.0	-1.31718647480011	69.70640563964844	0.04515588214716362	0.0
0.03499999999985448	-3.436347246170044	0.0	-1.4546136856079102	69.69419860839844	0.045098484158968964	-0.011479597639725237
0.03999999999996362	-3.420661211013794	0.0	-1.2643299102783203	69.69419860839844	0.045098484158968964	0.0
0.04500000000007276	-3.420661211013794	0.0	-1.031760811805725	69.69419860839844	0.045098484158968964	0.0
0.0500000000001819	-3.420661211013794	0.0	0.0570851303637027	69.69419860839844	0.045098484158968964	0.0
0.05499999999983629	-3.420661211013794	0.0	-0.6829072833061218	69.69419860839844	0.045098484158968964	0.0
0.05999999999994543	-3.420661211013794	0.0	-1.2643299102783203	69.69419860839844	0.045098484158968964	0.0
0.06501299999990806	-3.420661211013794	0.0	-1.200901985168457	69.69419860839844	0.045098484158968964	0.0
0.07000000000016371	-3.420661211013794	0.0	-0.1543412804603576	69.71861267089844	0.04521328158563155	0.0230193356039106
0.0749999999998181	-3.420661211013794	0.0	-1.2537585496902466	69.74302673339844	0.04532808481209403	0.02296064529408255
0.07999999999992724	-3.420661211013794	0.0	-0.6089080572128296	69.82848358154297	0.045729977624031595	0.08037856238575884
0.08500000000003638	-3.420661211013794	0.0	0.3530820906162262	69.91393280029297	0.046131905463899	0.08038556797172697
0.09000000000014552	-3.420661211013794	0.0	-0.7040499448776245	70.10926055908203	0.047050935135878276	0.18380593439184242
0.09499999999979991	-3.420661211013794	0.0	-0.6406220197677612	70.25575256347656	0.04774043139166927	0.13789925116773127
0.09999999999990905	-3.420661211013794	0.0	0.8393628001213074	70.53652954101562	0.049062546312928966	0.2644229842461668
0.10500000000001819	-3.420661211013794	0.0	-0.3974816501140594	70.76847839355469	0.050155310782660244	0.218552893941485
0.11000000000012733	-3.420661211013794	0.0	-1.2431873083114624	71.13471221923828	0.051881767065232814	0.3452912565069772
0.11499999999978172	-3.420661211013794	0.0	0.6596503853797913	71.42769622802734	0.0532638332583667	0.27641323864588313
0.11999999999989086	-3.420661211013794	0.0	-0.5031948685646057	71.90380096435547	0.05551144099174631	0.44952154666611044
0.125	-3.443259954452514	0.0	-1.1163314580917358	72.25782775878906	0.05718411297168041	0.3345343959795178
0.13000000000010914	-3.443259954452514	0.0	0.6490790843963623	72.79496765136719	0.05972415652698933	0.5080087110506943
0.13500000000021828	-3.443259954452514	1.5420000553131104	0.0676564499735832	73.17340850830078	0.06151532996713178	0.35823468802067054
0.13999999999987267	-3.443259954452514	1.5420000553131104	-0.4080529510974884	73.78379821777344	0.06440706769451816	0.5783475455172534
0.1449999999999818	-3.443259954452514	1.5420000553131104	-0.2706257998943329	74.17444610595703	0.06625953266988636	0.3704929950655531
0.15000000000009095	-3.443259954452514	1.5420000553131104	0.7442209720611572	74.76042175292969	0.06904079549560897	0.5562525651323798
0.1550000000002001	-3.443259954452514	1.5420000553131104	-0.6934785842895508	75.15106964111328	0.07089664037738788	0.37116897634768
0.15999999999985448	-3.443259954452514	1.5420000553131104	-1.1586166620254517	75.79808044433594	0.07397330948975185	0.6153338225153268
0.16499999999996362	-3.443259954452514	1.5420000553131104	1.1987876892089844	76.18872833251953	0.075832667853519	0.3718716727453122
0.17000000000007276	-3.443259954452514	1.5420000553131104	-0.4186242818832397	76.75028991699219	0.07850779823848136	0.5350260769807946
0.1750000000001819	-3.443259954452514	1.5420000553131104	-0.6934785842895508	77.14093780517578	0.08037030952968222	0.37250225823203953
0.1799999999998363	-3.443259954452514	1.5420000553131104	0.8816481232643127	77.6658706665039	0.08287506138513683	0.5009503711255484
0.18499999999994543	-3.443259954452514	1.5420000553131104	-0.7040499448776245	77.9954833984375	0.08444899302410015	0.31478632778579435
0.19000000000005457	-3.443259954452514	1.5420000553131104	-0.8943337202072144	78.48379516601562	0.0867823585207206	0.46667309931390216
0.1950000000001637	-3.443259954452514	1.5420000553131104	0.6385077238082886	78.83782196044922	0.08847525850529801	0.338579996908093
0.1999999999998181	-3.443259954452514	1.5420000553131104	-0.1014846712350845	79.32613372802734	0.09081193377179446	0.4673350533315922
0.20499999999992724	-3.443259954452514	1.5420000553131104	-0.3340537250041961	79.6679458618164	0.09244870145249583	0.32735353613312806
0.21000000000003638	-3.443259954452514	1.5420000553131104	0.3319394588470459	80.11963653564453	0.094613027335859	0.43286517666318525
0.21500000000014552	-3.4740118980407715	1.5420000553131104	-0.43976691365242	80.44924926757812	0.09619340286539388	0.31607510590007737
0.2199999999997999	-3.4740118980407715	1.5420000553131104	-0.5877653956413269	80.96197509765625	0.09865339804161101	0.4919990352774339
0.22499999999990905	-3.4740118980407715	1.5420000553131104	0.4693666100502014	81.30378723144531	0.1002944798130995	0.3282163542905331
0.2300000000000182	-3.4740118980407715	1.5420000553131104	0.3636534214019775	81.80430603027344	0.10269911356003485	0.4809267493765724
